Cluster = 0
Genus: blennosperma 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: rytidosperma 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: crypsis 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: elyhordeum 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: dopatrium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: aeonium 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: downingia 	 NumberInCluster: 11 	 PercentageInCluster: 0.500000
Genus: comarostaphylis 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: phacelia 	 NumberInCluster: 67 	 PercentageInCluster: 0.297778
Genus: baccharis 	 NumberInCluster: 5 	 PercentageInCluster: 0.200000
Genus: argythamnia 	 NumberInCluster: 3 	 PercentageInCluster: 0.125000
Genus: leonotis 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: scrophularia 	 NumberInCluster: 7 	 PercentageInCluster: 0.333333
Genus: constancea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: oxystylis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: trillium 	 NumberInCluster: 2 	 PercentageInCluster: 0.041667
Genus: aristotelia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: legousia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: karroochloa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: echinocereus 	 NumberInCluster: 4 	 PercentageInCluster: 0.070175
Genus: maytenus 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: limnanthes 	 NumberInCluster: 11 	 PercentageInCluster: 0.500000
Genus: matthiola 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: drosera 	 NumberInCluster: 2 	 PercentageInCluster: 0.111111
Genus: rumex 	 NumberInCluster: 2 	 PercentageInCluster: 0.027397
Genus: bauhinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: gentianopsis 	 NumberInCluster: 1 	 PercentageInCluster: 0.066667
Genus: diplacus 	 NumberInCluster: 12 	 PercentageInCluster: 0.857143
Genus: sedum 	 NumberInCluster: 11 	 PercentageInCluster: 0.152778
Genus: cornus 	 NumberInCluster: 1 	 PercentageInCluster: 0.038462
Genus: hesperolinon 	 NumberInCluster: 12 	 PercentageInCluster: 0.923077
Genus: calochortus 	 NumberInCluster: 43 	 PercentageInCluster: 0.551282
Genus: scutellaria 	 NumberInCluster: 6 	 PercentageInCluster: 0.078947
Genus: delphinium 	 NumberInCluster: 46 	 PercentageInCluster: 0.433962
Genus: ziziphus 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: pickeringia 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: limnobium 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: quercus 	 NumberInCluster: 39 	 PercentageInCluster: 0.169565
Genus: avena 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: ivesia 	 NumberInCluster: 23 	 PercentageInCluster: 0.534884
Genus: mentzelia 	 NumberInCluster: 13 	 PercentageInCluster: 0.147727
Genus: lagophylla 	 NumberInCluster: 4 	 PercentageInCluster: 0.666667
Genus: eriogonum 	 NumberInCluster: 140 	 PercentageInCluster: 0.321101
Genus: benitoa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cryptantha 	 NumberInCluster: 31 	 PercentageInCluster: 0.221429
Genus: petalonyx 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: arctostaphylos 	 NumberInCluster: 94 	 PercentageInCluster: 0.803419
Genus: marina 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: bromus 	 NumberInCluster: 6 	 PercentageInCluster: 0.088235
Genus: parishella 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: avicennia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: gaura 	 NumberInCluster: 1 	 PercentageInCluster: 0.037037
Genus: brandegea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: osteospermum 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: moraea 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: enemion 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: polypogon 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: stanleya 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: howelliella 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hemizonia 	 NumberInCluster: 11 	 PercentageInCluster: 0.785714
Genus: osmorhiza 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: cupressus 	 NumberInCluster: 10 	 PercentageInCluster: 0.714286
Genus: gazania 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: populus 	 NumberInCluster: 1 	 PercentageInCluster: 0.033333
Genus: ptilagrostis 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: chaenactis 	 NumberInCluster: 13 	 PercentageInCluster: 0.500000
Genus: draperia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cissus 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: styrax 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: larrea 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: olneya 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: parkinsonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: cirsium 	 NumberInCluster: 18 	 PercentageInCluster: 0.162162
Genus: lavatera 	 NumberInCluster: 6 	 PercentageInCluster: 0.750000
Genus: deinandra 	 NumberInCluster: 16 	 PercentageInCluster: 1.000000
Genus: apium 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: syntrichopappus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: agrostis 	 NumberInCluster: 6 	 PercentageInCluster: 0.181818
Genus: symphyotrichum 	 NumberInCluster: 5 	 PercentageInCluster: 0.034014
Genus: lobelia 	 NumberInCluster: 3 	 PercentageInCluster: 0.040000
Genus: olea 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: horkeliella 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: holocarpha 	 NumberInCluster: 8 	 PercentageInCluster: 1.000000
Genus: chamaesyce 	 NumberInCluster: 9 	 PercentageInCluster: 0.075630
Genus: cinna 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: neogaerrhinum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: tolpis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: pentachaeta 	 NumberInCluster: 8 	 PercentageInCluster: 1.000000
Genus: xylorhiza 	 NumberInCluster: 2 	 PercentageInCluster: 0.153846
Genus: pseudognaphalium 	 NumberInCluster: 6 	 PercentageInCluster: 0.181818
Genus: phalacroseris 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: datura 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: umbellularia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: frangula 	 NumberInCluster: 9 	 PercentageInCluster: 0.409091
Genus: grindelia 	 NumberInCluster: 7 	 PercentageInCluster: 0.127273
Genus: tetracoccus 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: agnorhiza 	 NumberInCluster: 5 	 PercentageInCluster: 1.000000
Genus: symphoricarpos 	 NumberInCluster: 1 	 PercentageInCluster: 0.055556
Genus: halimium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: neostapfia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: crassula 	 NumberInCluster: 4 	 PercentageInCluster: 0.266667
Genus: aphanisma 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: glossopetalon 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: phalaris 	 NumberInCluster: 2 	 PercentageInCluster: 0.181818
Genus: arthrocnemum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: dicentra 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: aristocapsa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: mahonia 	 NumberInCluster: 3 	 PercentageInCluster: 0.230769
Genus: acalypha 	 NumberInCluster: 1 	 PercentageInCluster: 0.041667
Genus: marah 	 NumberInCluster: 9 	 PercentageInCluster: 0.818182
Genus: wigandia 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: pseudocydonia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: koeberlinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: teesdalia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: pistacia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: heteranthemis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: antennaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.017544
Genus: collinsia 	 NumberInCluster: 22 	 PercentageInCluster: 0.647059
Genus: echinochloa 	 NumberInCluster: 3 	 PercentageInCluster: 0.166667
Genus: vicia 	 NumberInCluster: 3 	 PercentageInCluster: 0.065217
Genus: hyparrhenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: cyanopsis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: condalia 	 NumberInCluster: 2 	 PercentageInCluster: 0.166667
Genus: achnatherum 	 NumberInCluster: 7 	 PercentageInCluster: 0.170732
Genus: hieracium 	 NumberInCluster: 1 	 PercentageInCluster: 0.012346
Genus: primula 	 NumberInCluster: 1 	 PercentageInCluster: 0.034483
Genus: libertia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bituminaria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cordylanthus 	 NumberInCluster: 27 	 PercentageInCluster: 0.613636
Genus: muhlenbergia 	 NumberInCluster: 3 	 PercentageInCluster: 0.042857
Genus: palafoxia 	 NumberInCluster: 1 	 PercentageInCluster: 0.055556
Genus: scirpus 	 NumberInCluster: 1 	 PercentageInCluster: 0.050000
Genus: rupertia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: polypodium 	 NumberInCluster: 1 	 PercentageInCluster: 0.052632
Genus: ephedra 	 NumberInCluster: 3 	 PercentageInCluster: 0.166667
Genus: minuartia 	 NumberInCluster: 4 	 PercentageInCluster: 0.095238
Genus: themeda 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: encelia 	 NumberInCluster: 2 	 PercentageInCluster: 0.200000
Genus: galenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: ammoselinum 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: ruta 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: petrorhagia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: nemacaulis 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: jarava 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: oxalis 	 NumberInCluster: 7 	 PercentageInCluster: 0.179487
Genus: scopulophila 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: laurus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: pediomelum 	 NumberInCluster: 1 	 PercentageInCluster: 0.035714
Genus: gambelia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: parentucellia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: chloris 	 NumberInCluster: 1 	 PercentageInCluster: 0.045455
Genus: stanfordia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: corydalis 	 NumberInCluster: 1 	 PercentageInCluster: 0.045455
Genus: navarretia 	 NumberInCluster: 33 	 PercentageInCluster: 0.611111
Genus: pteryxia 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: podistera 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: erysimum 	 NumberInCluster: 12 	 PercentageInCluster: 0.333333
Genus: nemophila 	 NumberInCluster: 7 	 PercentageInCluster: 0.350000
Genus: pseudorontium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: lampranthus 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: onopordum 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: draba 	 NumberInCluster: 19 	 PercentageInCluster: 0.127517
Genus: parietaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: nama 	 NumberInCluster: 6 	 PercentageInCluster: 0.214286
Genus: pellaea 	 NumberInCluster: 2 	 PercentageInCluster: 0.080000
Genus: swallenia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: helianthella 	 NumberInCluster: 3 	 PercentageInCluster: 0.272727
Genus: claytonia 	 NumberInCluster: 8 	 PercentageInCluster: 0.142857
Genus: cestrum 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: odontostomum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: blepharizonia 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: gladiolus 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: lilium 	 NumberInCluster: 10 	 PercentageInCluster: 0.227273
Genus: heteromeles 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: campanula 	 NumberInCluster: 7 	 PercentageInCluster: 0.200000
Genus: narcissus 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: centromadia 	 NumberInCluster: 7 	 PercentageInCluster: 0.700000
Genus: arenaria 	 NumberInCluster: 5 	 PercentageInCluster: 0.083333
Genus: woodwardia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: cusickiella 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: leptosiphon 	 NumberInCluster: 26 	 PercentageInCluster: 0.634146
Genus: apiastrum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ribes 	 NumberInCluster: 28 	 PercentageInCluster: 0.291667
Genus: scoliopus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: leymus 	 NumberInCluster: 4 	 PercentageInCluster: 0.173913
Genus: tonestus 	 NumberInCluster: 2 	 PercentageInCluster: 0.181818
Genus: torreyochloa 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: hesperoyucca 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: rhodanthe 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: chrysothamnus 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: panicum 	 NumberInCluster: 3 	 PercentageInCluster: 0.036585
Genus: acanthomintha 	 NumberInCluster: 6 	 PercentageInCluster: 1.000000
Genus: gaudinia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: astragalus 	 NumberInCluster: 113 	 PercentageInCluster: 0.183740
Genus: cheilanthes 	 NumberInCluster: 6 	 PercentageInCluster: 0.181818
Genus: endolepis 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: euphorbia 	 NumberInCluster: 6 	 PercentageInCluster: 0.068182
Genus: saxifraga 	 NumberInCluster: 2 	 PercentageInCluster: 0.017857
Genus: escobaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.030303
Genus: phoradendron 	 NumberInCluster: 2 	 PercentageInCluster: 0.080000
Genus: parapholis 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: fraxinus 	 NumberInCluster: 1 	 PercentageInCluster: 0.050000
Genus: sphaeralcea 	 NumberInCluster: 5 	 PercentageInCluster: 0.106383
Genus: pyracantha 	 NumberInCluster: 3 	 PercentageInCluster: 0.600000
Genus: eucnide 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: cuscuta 	 NumberInCluster: 9 	 PercentageInCluster: 0.120000
Genus: calystegia 	 NumberInCluster: 31 	 PercentageInCluster: 0.563636
Genus: pericallis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: echium 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: castela 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: lastarriaea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: xolantha 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: rotala 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: dodecatheon 	 NumberInCluster: 10 	 PercentageInCluster: 0.263158
Genus: glebionis 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: fritillaria 	 NumberInCluster: 14 	 PercentageInCluster: 0.608696
Genus: calamagrostis 	 NumberInCluster: 2 	 PercentageInCluster: 0.052632
Genus: pteris 	 NumberInCluster: 1 	 PercentageInCluster: 0.041667
Genus: crossosoma 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: dicoria 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: guillenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: spergularia 	 NumberInCluster: 4 	 PercentageInCluster: 0.235294
Genus: halimolobos 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: frasera 	 NumberInCluster: 4 	 PercentageInCluster: 0.210526
Genus: lesquerella 	 NumberInCluster: 2 	 PercentageInCluster: 0.019802
Genus: lepechinia 	 NumberInCluster: 4 	 PercentageInCluster: 0.800000
Genus: ayenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: holozonia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: sparaxis 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: acaena 	 NumberInCluster: 3 	 PercentageInCluster: 0.600000
Genus: hesperevax 	 NumberInCluster: 4 	 PercentageInCluster: 0.500000
Genus: datisca 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: leontodon 	 NumberInCluster: 2 	 PercentageInCluster: 0.200000
Genus: paraserianthes 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: erigeron 	 NumberInCluster: 42 	 PercentageInCluster: 0.159091
Genus: sanvitalia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: convolvulus 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: plagiobothrys 	 NumberInCluster: 35 	 PercentageInCluster: 0.492958
Genus: aira 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: rhododendron 	 NumberInCluster: 2 	 PercentageInCluster: 0.050000
Genus: caulostramina 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: staphylea 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: salsola 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: xylococcus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: romulea 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: fremontodendron 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: gonocarpus 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: silene 	 NumberInCluster: 25 	 PercentageInCluster: 0.167785
Genus: bolandra 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: paeonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: calendula 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: brachypodium 	 NumberInCluster: 3 	 PercentageInCluster: 0.500000
Genus: pentagramma 	 NumberInCluster: 3 	 PercentageInCluster: 0.500000
Genus: tracyina 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: anulocaulis 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: aloysia 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: alnus 	 NumberInCluster: 1 	 PercentageInCluster: 0.062500
Genus: adiantum 	 NumberInCluster: 1 	 PercentageInCluster: 0.035714
Genus: argyranthemum 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: amaryllis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: viguiera 	 NumberInCluster: 2 	 PercentageInCluster: 0.166667
Genus: dittrichia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: canbya 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: solanum 	 NumberInCluster: 17 	 PercentageInCluster: 0.157407
Genus: nolina 	 NumberInCluster: 3 	 PercentageInCluster: 0.214286
Genus: salvia 	 NumberInCluster: 21 	 PercentageInCluster: 0.247059
Genus: helichrysum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: sericocarpus 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: tragopogon 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: sedella 	 NumberInCluster: 3 	 PercentageInCluster: 0.750000
Genus: teucrium 	 NumberInCluster: 2 	 PercentageInCluster: 0.142857
Genus: stylocline 	 NumberInCluster: 4 	 PercentageInCluster: 0.571429
Genus: sporobolus 	 NumberInCluster: 1 	 PercentageInCluster: 0.023810
Genus: raillardella 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: freesia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: cynara 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: dipogon 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: suaeda 	 NumberInCluster: 3 	 PercentageInCluster: 0.176471
Genus: allophyllum 	 NumberInCluster: 3 	 PercentageInCluster: 0.500000
Genus: crepis 	 NumberInCluster: 4 	 PercentageInCluster: 0.078431
Genus: holmgrenanthe 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: aegopogon 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: arum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: ludwigia 	 NumberInCluster: 1 	 PercentageInCluster: 0.024390
Genus: drosanthemum 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: petrophytum 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: justicia 	 NumberInCluster: 1 	 PercentageInCluster: 0.037037
Genus: arctotis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: juglans 	 NumberInCluster: 1 	 PercentageInCluster: 0.071429
Genus: asphodelus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: emex 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: watsonia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: prosopis 	 NumberInCluster: 2 	 PercentageInCluster: 0.153846
Genus: malacothrix 	 NumberInCluster: 20 	 PercentageInCluster: 0.740741
Genus: pennisetum 	 NumberInCluster: 3 	 PercentageInCluster: 0.176471
Genus: eriochloa 	 NumberInCluster: 2 	 PercentageInCluster: 0.133333
