Cluster = 0
Cluster = 1
Genus: oxytropis 	 NumberInCluster: 4 	 PercentageInCluster: 0.060606
Genus: hydrocharis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: poa 	 NumberInCluster: 8 	 PercentageInCluster: 0.076923
Genus: echinops 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: sagina 	 NumberInCluster: 2 	 PercentageInCluster: 0.125000
Genus: elyhordeum 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: andromeda 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: listera 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: gentiana 	 NumberInCluster: 1 	 PercentageInCluster: 0.025641
Genus: bartsia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: actaea 	 NumberInCluster: 1 	 PercentageInCluster: 0.076923
Genus: botrychium 	 NumberInCluster: 2 	 PercentageInCluster: 0.054054
Genus: drosera 	 NumberInCluster: 3 	 PercentageInCluster: 0.166667
Genus: agroelymus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: dulichium 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: gentianopsis 	 NumberInCluster: 1 	 PercentageInCluster: 0.066667
Genus: iris 	 NumberInCluster: 1 	 PercentageInCluster: 0.015385
Genus: polygonatum 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: sedum 	 NumberInCluster: 3 	 PercentageInCluster: 0.041667
Genus: cornus 	 NumberInCluster: 1 	 PercentageInCluster: 0.038462
Genus: hippophae 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: scutellaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.013158
Genus: descurainia 	 NumberInCluster: 1 	 PercentageInCluster: 0.038462
Genus: calamintha 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: linum 	 NumberInCluster: 1 	 PercentageInCluster: 0.018868
Genus: arctostaphylos 	 NumberInCluster: 1 	 PercentageInCluster: 0.008547
Genus: juniperus 	 NumberInCluster: 1 	 PercentageInCluster: 0.041667
Genus: betula 	 NumberInCluster: 3 	 PercentageInCluster: 0.062500
Genus: triglochin 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: epilobium 	 NumberInCluster: 1 	 PercentageInCluster: 0.018182
Genus: potamogeton 	 NumberInCluster: 3 	 PercentageInCluster: 0.052632
Genus: carex 	 NumberInCluster: 49 	 PercentageInCluster: 0.070605
Genus: succisella 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: erigeron 	 NumberInCluster: 1 	 PercentageInCluster: 0.003788
Genus: omalotheca 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: elymus 	 NumberInCluster: 2 	 PercentageInCluster: 0.030303
Genus: silene 	 NumberInCluster: 2 	 PercentageInCluster: 0.013423
Genus: omphalodes 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: sorbaronia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: adiantum 	 NumberInCluster: 1 	 PercentageInCluster: 0.035714
Genus: scleranthus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: eleocharis 	 NumberInCluster: 4 	 PercentageInCluster: 0.045977
Genus: lavatera 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: pleuropogon 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: huperzia 	 NumberInCluster: 1 	 PercentageInCluster: 0.026316
Genus: solidago 	 NumberInCluster: 9 	 PercentageInCluster: 0.062500
Genus: campanula 	 NumberInCluster: 1 	 PercentageInCluster: 0.028571
Genus: teucrium 	 NumberInCluster: 1 	 PercentageInCluster: 0.071429
Genus: glyceria 	 NumberInCluster: 2 	 PercentageInCluster: 0.100000
Genus: hulteniella 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: phellodendron 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: arnica 	 NumberInCluster: 3 	 PercentageInCluster: 0.066667
Genus: dryas 	 NumberInCluster: 1 	 PercentageInCluster: 0.050000
Genus: amelanchier 	 NumberInCluster: 2 	 PercentageInCluster: 0.071429
Genus: diplotaxis 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: tilia 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: veronica 	 NumberInCluster: 3 	 PercentageInCluster: 0.068182
Genus: cicuta 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: arabis 	 NumberInCluster: 1 	 PercentageInCluster: 0.006849
Genus: anemone 	 NumberInCluster: 1 	 PercentageInCluster: 0.020833
Genus: cotoneaster 	 NumberInCluster: 1 	 PercentageInCluster: 0.058824
Genus: galium 	 NumberInCluster: 1 	 PercentageInCluster: 0.006289
Genus: polygonum 	 NumberInCluster: 3 	 PercentageInCluster: 0.028302
Genus: populus 	 NumberInCluster: 3 	 PercentageInCluster: 0.100000
Genus: angelica 	 NumberInCluster: 1 	 PercentageInCluster: 0.040000
Genus: nepeta 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: pulmonaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: deschampsia 	 NumberInCluster: 2 	 PercentageInCluster: 0.181818
Genus: woodsia 	 NumberInCluster: 1 	 PercentageInCluster: 0.045455
Genus: hierochloe 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: viola 	 NumberInCluster: 1 	 PercentageInCluster: 0.005556
Genus: suaeda 	 NumberInCluster: 1 	 PercentageInCluster: 0.058824
Genus: erysimum 	 NumberInCluster: 1 	 PercentageInCluster: 0.027778
Genus: vaccinium 	 NumberInCluster: 1 	 PercentageInCluster: 0.022222
Genus: dupoa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: scopolia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: leucanthemella 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: gymnocarpium 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: rumex 	 NumberInCluster: 1 	 PercentageInCluster: 0.013699
Genus: bidens 	 NumberInCluster: 3 	 PercentageInCluster: 0.042254
Genus: achillea 	 NumberInCluster: 2 	 PercentageInCluster: 0.090909
Genus: zizania 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: nonea 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: pinus 	 NumberInCluster: 1 	 PercentageInCluster: 0.013889
Genus: aconitum 	 NumberInCluster: 3 	 PercentageInCluster: 0.166667
Genus: eryngium 	 NumberInCluster: 1 	 PercentageInCluster: 0.024390
Genus: clematis 	 NumberInCluster: 1 	 PercentageInCluster: 0.018868
Genus: cerinthe 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: antennaria 	 NumberInCluster: 3 	 PercentageInCluster: 0.052632
Genus: juncus 	 NumberInCluster: 2 	 PercentageInCluster: 0.011765
Genus: vicia 	 NumberInCluster: 1 	 PercentageInCluster: 0.021739
Genus: galeopsis 	 NumberInCluster: 2 	 PercentageInCluster: 0.222222
Genus: stellaria 	 NumberInCluster: 2 	 PercentageInCluster: 0.044444
Genus: bromus 	 NumberInCluster: 2 	 PercentageInCluster: 0.029412
Genus: luzula 	 NumberInCluster: 3 	 PercentageInCluster: 0.068182
Genus: impatiens 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: hieracium 	 NumberInCluster: 2 	 PercentageInCluster: 0.024691
Genus: primula 	 NumberInCluster: 1 	 PercentageInCluster: 0.034483
Cluster = 2
Genus: ocimum 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: scleria 	 NumberInCluster: 10 	 PercentageInCluster: 0.333333
Genus: rajania 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hymenophyllum 	 NumberInCluster: 16 	 PercentageInCluster: 0.727273
Genus: pilosocereus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: persea 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: symplocos 	 NumberInCluster: 4 	 PercentageInCluster: 0.666667
Genus: callisia 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: pavonia 	 NumberInCluster: 3 	 PercentageInCluster: 0.428571
Genus: cananga 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: stylogyne 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: voyria 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: mikania 	 NumberInCluster: 7 	 PercentageInCluster: 0.777778
Genus: vernonia 	 NumberInCluster: 4 	 PercentageInCluster: 0.108108
Genus: senna 	 NumberInCluster: 13 	 PercentageInCluster: 0.254902
Genus: salmea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: piscidia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: ctenitis 	 NumberInCluster: 3 	 PercentageInCluster: 0.375000
Genus: tournefortia 	 NumberInCluster: 5 	 PercentageInCluster: 0.625000
Genus: pitcairnia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: dillenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: pleodendron 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: marsypianthes 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: dicliptera 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: dalea 	 NumberInCluster: 1 	 PercentageInCluster: 0.011236
Genus: hypoderris 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hypericum 	 NumberInCluster: 1 	 PercentageInCluster: 0.014925
Genus: schradera 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hyeronima 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: rorippa 	 NumberInCluster: 1 	 PercentageInCluster: 0.023256
Genus: congea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: fioria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: pachystachys 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bastardia 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: casuarina 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: hernandia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cleyera 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: megalastrum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: homalium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: urochloa 	 NumberInCluster: 3 	 PercentageInCluster: 0.142857
Genus: pera 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: eleutherine 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hirtella 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: hedyosmum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ranunculus 	 NumberInCluster: 1 	 PercentageInCluster: 0.007092
Genus: alpinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: curcuma 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: microgramma 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: kaempferia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: anemia 	 NumberInCluster: 3 	 PercentageInCluster: 0.500000
Genus: saritaea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: lepidium 	 NumberInCluster: 1 	 PercentageInCluster: 0.010526
Genus: sclerocarpus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: zephyranthes 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: cestrum 	 NumberInCluster: 3 	 PercentageInCluster: 0.375000
Genus: piriqueta 	 NumberInCluster: 3 	 PercentageInCluster: 0.600000
Genus: acnistus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ceiba 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: piptocarpha 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hyptis 	 NumberInCluster: 4 	 PercentageInCluster: 0.333333
Genus: scaphyglottis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: lellingeria 	 NumberInCluster: 3 	 PercentageInCluster: 0.750000
Genus: grammitis 	 NumberInCluster: 9 	 PercentageInCluster: 0.642857
Genus: polystichum 	 NumberInCluster: 5 	 PercentageInCluster: 0.166667
Genus: craniolaria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: prestoea 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: vanilla 	 NumberInCluster: 2 	 PercentageInCluster: 0.222222
Genus: polygala 	 NumberInCluster: 8 	 PercentageInCluster: 0.100000
Genus: lantana 	 NumberInCluster: 6 	 PercentageInCluster: 0.285714
Genus: dovyalis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: laplacea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: liparis 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: dissotis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: malachra 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: bothriochloa 	 NumberInCluster: 1 	 PercentageInCluster: 0.058824
Genus: schizolobium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: gynerium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: oplismenus 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: catopsis 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: baccharis 	 NumberInCluster: 1 	 PercentageInCluster: 0.040000
Genus: magnolia 	 NumberInCluster: 2 	 PercentageInCluster: 0.153846
Genus: erythrina 	 NumberInCluster: 8 	 PercentageInCluster: 0.666667
Genus: hymenocallis 	 NumberInCluster: 2 	 PercentageInCluster: 0.117647
Genus: argythamnia 	 NumberInCluster: 3 	 PercentageInCluster: 0.125000
Genus: crotalaria 	 NumberInCluster: 8 	 PercentageInCluster: 0.285714
Genus: scrophularia 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: echinodorus 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: chione 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: acrocomia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: aniba 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: priva 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: pterocarpus 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: tetrazygia 	 NumberInCluster: 5 	 PercentageInCluster: 0.833333
Genus: maytenus 	 NumberInCluster: 4 	 PercentageInCluster: 0.666667
Genus: aiphanes 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: iresine 	 NumberInCluster: 4 	 PercentageInCluster: 0.400000
Genus: pleopeltis 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: pisonia 	 NumberInCluster: 2 	 PercentageInCluster: 0.181818
Genus: stenorrhynchos 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: mammea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: dieffenbachia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: codariocalyx 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: begonia 	 NumberInCluster: 5 	 PercentageInCluster: 0.500000
Genus: hedychium 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: saccharum 	 NumberInCluster: 2 	 PercentageInCluster: 0.181818
Genus: eurystyles 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: schultesia 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: saccoloma 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: zygophlebia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: quassia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: epidendrum 	 NumberInCluster: 11 	 PercentageInCluster: 0.478261
Genus: licania 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: kleinhovia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ziziphus 	 NumberInCluster: 3 	 PercentageInCluster: 0.300000
Genus: phlebodium 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: bolbitis 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: rondeletia 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: cassipourea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: mentzelia 	 NumberInCluster: 1 	 PercentageInCluster: 0.011364
Genus: episcia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: chamaesyce 	 NumberInCluster: 5 	 PercentageInCluster: 0.042017
Genus: eucharis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cassine 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: neptunia 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: anadenanthera 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bracteantha 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: eriosema 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: leptochloa 	 NumberInCluster: 1 	 PercentageInCluster: 0.058824
Genus: zamia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: homalocladium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: scolosanthus 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: triplaris 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: tephrosia 	 NumberInCluster: 4 	 PercentageInCluster: 0.166667
Genus: schoepfia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: ternstroemia 	 NumberInCluster: 5 	 PercentageInCluster: 1.000000
Genus: zornia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: symphysia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: leochilus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: consolea 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: boehmeria 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: eragrostis 	 NumberInCluster: 2 	 PercentageInCluster: 0.029412
Genus: philodendron 	 NumberInCluster: 8 	 PercentageInCluster: 1.000000
Genus: diodia 	 NumberInCluster: 4 	 PercentageInCluster: 0.250000
Genus: musa 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: ouratea 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: pectis 	 NumberInCluster: 6 	 PercentageInCluster: 0.240000
Genus: tectaria 	 NumberInCluster: 5 	 PercentageInCluster: 0.454545
Genus: cissus 	 NumberInCluster: 4 	 PercentageInCluster: 0.444444
Genus: calyptranthes 	 NumberInCluster: 11 	 PercentageInCluster: 0.846154
Genus: clitoria 	 NumberInCluster: 3 	 PercentageInCluster: 0.500000
Genus: blechnum 	 NumberInCluster: 5 	 PercentageInCluster: 0.555556
Genus: cirsium 	 NumberInCluster: 1 	 PercentageInCluster: 0.009009
Genus: antirhea 	 NumberInCluster: 6 	 PercentageInCluster: 1.000000
Genus: heliconia 	 NumberInCluster: 3 	 PercentageInCluster: 0.428571
Genus: stachytarpheta 	 NumberInCluster: 3 	 PercentageInCluster: 0.300000
Genus: arachniodes 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: cnemidaria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ichnanthus 	 NumberInCluster: 5 	 PercentageInCluster: 1.000000
Genus: enicostema 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: eichhornia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: lobelia 	 NumberInCluster: 6 	 PercentageInCluster: 0.080000
Genus: dioclea 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: hydrocotyle 	 NumberInCluster: 2 	 PercentageInCluster: 0.153846
Genus: colubrina 	 NumberInCluster: 3 	 PercentageInCluster: 0.200000
Genus: pharus 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: dracaena 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: albizia 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: teliostachya 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: buchnera 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: furcraea 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: rauvolfia 	 NumberInCluster: 3 	 PercentageInCluster: 0.600000
Genus: triumfetta 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: huperzia 	 NumberInCluster: 9 	 PercentageInCluster: 0.236842
Genus: vigna 	 NumberInCluster: 6 	 PercentageInCluster: 0.428571
Genus: randia 	 NumberInCluster: 3 	 PercentageInCluster: 0.600000
Genus: cyathula 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: pseudognaphalium 	 NumberInCluster: 1 	 PercentageInCluster: 0.030303
Genus: melpomense 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: malaxis 	 NumberInCluster: 2 	 PercentageInCluster: 0.142857
Genus: sterculia 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: jacquinia 	 NumberInCluster: 3 	 PercentageInCluster: 0.600000
Genus: pteridium 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: lycaste 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: flacourtia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: pappophorum 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: frangula 	 NumberInCluster: 2 	 PercentageInCluster: 0.090909
Genus: salvia 	 NumberInCluster: 2 	 PercentageInCluster: 0.023529
Genus: hohenbergia 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: stegnosperma 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ottoschulzia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: antigonon 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: calathea 	 NumberInCluster: 3 	 PercentageInCluster: 0.750000
Genus: myristica 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hypolepis 	 NumberInCluster: 3 	 PercentageInCluster: 0.600000
Genus: antidaphne 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bocconia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bidens 	 NumberInCluster: 3 	 PercentageInCluster: 0.042254
Genus: brugmansia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: acalypha 	 NumberInCluster: 4 	 PercentageInCluster: 0.166667
Genus: olyra 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: piptocoma 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
