Cluster = 0
Cluster = 1
Genus: blennosperma 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: lamiastrum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: smelowskia 	 NumberInCluster: 1 	 PercentageInCluster: 0.062500
Genus: bursera 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: crypsis 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: elyhordeum 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: chrysolepis 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: aeonium 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: downingia 	 NumberInCluster: 13 	 PercentageInCluster: 0.590909
Genus: comarostaphylis 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: asyneuma 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: phacelia 	 NumberInCluster: 75 	 PercentageInCluster: 0.333333
Genus: baccharis 	 NumberInCluster: 6 	 PercentageInCluster: 0.240000
Genus: argythamnia 	 NumberInCluster: 3 	 PercentageInCluster: 0.125000
Genus: scrophularia 	 NumberInCluster: 7 	 PercentageInCluster: 0.333333
Genus: constancea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: lythrum 	 NumberInCluster: 1 	 PercentageInCluster: 0.066667
Genus: oxystylis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: trillium 	 NumberInCluster: 5 	 PercentageInCluster: 0.104167
Genus: aristotelia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: legousia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: karroochloa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: echinocereus 	 NumberInCluster: 4 	 PercentageInCluster: 0.070175
Genus: maytenus 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: limnanthes 	 NumberInCluster: 20 	 PercentageInCluster: 0.909091
Genus: matthiola 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: drosera 	 NumberInCluster: 2 	 PercentageInCluster: 0.111111
Genus: rumex 	 NumberInCluster: 3 	 PercentageInCluster: 0.041096
Genus: gentianopsis 	 NumberInCluster: 1 	 PercentageInCluster: 0.066667
Genus: bensoniella 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: diplacus 	 NumberInCluster: 14 	 PercentageInCluster: 1.000000
Genus: sedum 	 NumberInCluster: 20 	 PercentageInCluster: 0.277778
Genus: cornus 	 NumberInCluster: 2 	 PercentageInCluster: 0.076923
Genus: hesperolinon 	 NumberInCluster: 12 	 PercentageInCluster: 0.923077
Genus: calochortus 	 NumberInCluster: 49 	 PercentageInCluster: 0.628205
Genus: scutellaria 	 NumberInCluster: 7 	 PercentageInCluster: 0.092105
Genus: delphinium 	 NumberInCluster: 48 	 PercentageInCluster: 0.452830
Genus: ziziphus 	 NumberInCluster: 2 	 PercentageInCluster: 0.200000
Genus: pickeringia 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: limnobium 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: quercus 	 NumberInCluster: 44 	 PercentageInCluster: 0.191304
Genus: avena 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: ivesia 	 NumberInCluster: 23 	 PercentageInCluster: 0.534884
Genus: mentzelia 	 NumberInCluster: 14 	 PercentageInCluster: 0.159091
Genus: lagophylla 	 NumberInCluster: 4 	 PercentageInCluster: 0.666667
Genus: eriogonum 	 NumberInCluster: 152 	 PercentageInCluster: 0.348624
Genus: benitoa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cryptantha 	 NumberInCluster: 33 	 PercentageInCluster: 0.235714
Genus: petalonyx 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: arctostaphylos 	 NumberInCluster: 105 	 PercentageInCluster: 0.897436
Genus: marina 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: aralia 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: bromus 	 NumberInCluster: 7 	 PercentageInCluster: 0.102941
Genus: santolina 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: heliotropium 	 NumberInCluster: 1 	 PercentageInCluster: 0.029412
Genus: avicennia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: iliamna 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: gaura 	 NumberInCluster: 1 	 PercentageInCluster: 0.037037
Genus: brandegea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: osteospermum 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: ilex 	 NumberInCluster: 1 	 PercentageInCluster: 0.025000
Genus: moraea 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: enemion 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: polypogon 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: stanleya 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: howelliella 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hemizonia 	 NumberInCluster: 14 	 PercentageInCluster: 1.000000
Genus: osmorhiza 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: cupressus 	 NumberInCluster: 11 	 PercentageInCluster: 0.785714
Genus: gazania 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: populus 	 NumberInCluster: 1 	 PercentageInCluster: 0.033333
Genus: ptilagrostis 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: eucephalus 	 NumberInCluster: 2 	 PercentageInCluster: 0.153846
Genus: chaenactis 	 NumberInCluster: 13 	 PercentageInCluster: 0.500000
Genus: draperia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cissus 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: styrax 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: larrea 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: sequoia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: olneya 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: parkinsonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: cirsium 	 NumberInCluster: 21 	 PercentageInCluster: 0.189189
Genus: cynoglossum 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: deinandra 	 NumberInCluster: 16 	 PercentageInCluster: 1.000000
Genus: apium 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: syntrichopappus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: agrostis 	 NumberInCluster: 8 	 PercentageInCluster: 0.242424
Genus: symphyotrichum 	 NumberInCluster: 6 	 PercentageInCluster: 0.040816
Genus: lobelia 	 NumberInCluster: 3 	 PercentageInCluster: 0.040000
Genus: horkeliella 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: holocarpha 	 NumberInCluster: 8 	 PercentageInCluster: 1.000000
Genus: chamaesyce 	 NumberInCluster: 9 	 PercentageInCluster: 0.075630
Genus: cinna 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: neogaerrhinum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: tolpis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: pentachaeta 	 NumberInCluster: 8 	 PercentageInCluster: 1.000000
Genus: xylorhiza 	 NumberInCluster: 2 	 PercentageInCluster: 0.153846
Genus: pseudognaphalium 	 NumberInCluster: 7 	 PercentageInCluster: 0.212121
Genus: phalacroseris 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: datura 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: umbellularia 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: frangula 	 NumberInCluster: 9 	 PercentageInCluster: 0.409091
Genus: grindelia 	 NumberInCluster: 8 	 PercentageInCluster: 0.145455
Genus: tetracoccus 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: agnorhiza 	 NumberInCluster: 5 	 PercentageInCluster: 1.000000
Genus: symphoricarpos 	 NumberInCluster: 1 	 PercentageInCluster: 0.055556
Genus: halimium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: neostapfia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: crassula 	 NumberInCluster: 3 	 PercentageInCluster: 0.200000
Genus: aphanisma 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: glossopetalon 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: phalaris 	 NumberInCluster: 3 	 PercentageInCluster: 0.272727
Genus: arthrocnemum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: dicentra 	 NumberInCluster: 3 	 PercentageInCluster: 0.333333
Genus: aristocapsa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: mahonia 	 NumberInCluster: 5 	 PercentageInCluster: 0.384615
Genus: acalypha 	 NumberInCluster: 1 	 PercentageInCluster: 0.041667
Genus: marah 	 NumberInCluster: 9 	 PercentageInCluster: 0.818182
Genus: wigandia 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: pseudocydonia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: koeberlinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: teesdalia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: pistacia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: heteranthemis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: antennaria 	 NumberInCluster: 2 	 PercentageInCluster: 0.035088
Genus: collinsia 	 NumberInCluster: 25 	 PercentageInCluster: 0.735294
Genus: echinochloa 	 NumberInCluster: 1 	 PercentageInCluster: 0.055556
Genus: vicia 	 NumberInCluster: 4 	 PercentageInCluster: 0.086957
Genus: narthecium 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: cyanopsis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: picea 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: condalia 	 NumberInCluster: 2 	 PercentageInCluster: 0.166667
Genus: achnatherum 	 NumberInCluster: 8 	 PercentageInCluster: 0.195122
Genus: hieracium 	 NumberInCluster: 3 	 PercentageInCluster: 0.037037
Genus: primula 	 NumberInCluster: 1 	 PercentageInCluster: 0.034483
Genus: libertia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bituminaria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: gratiola 	 NumberInCluster: 1 	 PercentageInCluster: 0.071429
Genus: cordylanthus 	 NumberInCluster: 29 	 PercentageInCluster: 0.659091
Genus: muhlenbergia 	 NumberInCluster: 3 	 PercentageInCluster: 0.042857
Genus: achyrachaena 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: palafoxia 	 NumberInCluster: 1 	 PercentageInCluster: 0.055556
Genus: scirpus 	 NumberInCluster: 1 	 PercentageInCluster: 0.050000
Genus: rupertia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: polypodium 	 NumberInCluster: 2 	 PercentageInCluster: 0.105263
Genus: ephedra 	 NumberInCluster: 3 	 PercentageInCluster: 0.166667
Genus: minuartia 	 NumberInCluster: 8 	 PercentageInCluster: 0.190476
Genus: themeda 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: encelia 	 NumberInCluster: 2 	 PercentageInCluster: 0.200000
Genus: galenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: ammoselinum 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: ruta 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: petrorhagia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: nemacaulis 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: jarava 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: oxalis 	 NumberInCluster: 7 	 PercentageInCluster: 0.179487
Genus: scopulophila 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: laurus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: pediomelum 	 NumberInCluster: 1 	 PercentageInCluster: 0.035714
Genus: gambelia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: parentucellia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: cerastium 	 NumberInCluster: 1 	 PercentageInCluster: 0.022222
Genus: sanicula 	 NumberInCluster: 9 	 PercentageInCluster: 0.346154
Genus: stanfordia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: corydalis 	 NumberInCluster: 1 	 PercentageInCluster: 0.045455
Genus: navarretia 	 NumberInCluster: 40 	 PercentageInCluster: 0.740741
Genus: pteryxia 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: podistera 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: erysimum 	 NumberInCluster: 15 	 PercentageInCluster: 0.416667
Genus: nemophila 	 NumberInCluster: 8 	 PercentageInCluster: 0.400000
Genus: pseudorontium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: lampranthus 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: onopordum 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: draba 	 NumberInCluster: 20 	 PercentageInCluster: 0.134228
Genus: parietaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: nama 	 NumberInCluster: 6 	 PercentageInCluster: 0.214286
Genus: pellaea 	 NumberInCluster: 3 	 PercentageInCluster: 0.120000
Genus: swallenia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: helianthella 	 NumberInCluster: 3 	 PercentageInCluster: 0.272727
Genus: claytonia 	 NumberInCluster: 10 	 PercentageInCluster: 0.178571
Genus: ptelea 	 NumberInCluster: 1 	 PercentageInCluster: 0.071429
Genus: cestrum 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: odontostomum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: blepharizonia 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: gladiolus 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: clintonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: lilium 	 NumberInCluster: 19 	 PercentageInCluster: 0.431818
Genus: heteromeles 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: campanula 	 NumberInCluster: 7 	 PercentageInCluster: 0.200000
Genus: amberboa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: centromadia 	 NumberInCluster: 7 	 PercentageInCluster: 0.700000
Genus: arenaria 	 NumberInCluster: 7 	 PercentageInCluster: 0.116667
Genus: woodwardia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: cusickiella 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: alisma 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: leptosiphon 	 NumberInCluster: 26 	 PercentageInCluster: 0.634146
Genus: apiastrum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ribes 	 NumberInCluster: 37 	 PercentageInCluster: 0.385417
Genus: scoliopus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: leymus 	 NumberInCluster: 4 	 PercentageInCluster: 0.173913
Genus: tonestus 	 NumberInCluster: 2 	 PercentageInCluster: 0.181818
Genus: torreyochloa 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: hesperoyucca 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: rhodanthe 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: narcissus 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: chrysothamnus 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: panicum 	 NumberInCluster: 3 	 PercentageInCluster: 0.036585
Genus: acanthomintha 	 NumberInCluster: 6 	 PercentageInCluster: 1.000000
Genus: gaudinia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: boschniakia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: cheilanthes 	 NumberInCluster: 7 	 PercentageInCluster: 0.212121
Genus: endolepis 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: euphorbia 	 NumberInCluster: 6 	 PercentageInCluster: 0.068182
Genus: saxifraga 	 NumberInCluster: 5 	 PercentageInCluster: 0.044643
Genus: escobaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.030303
Genus: romanzoffia 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: phoradendron 	 NumberInCluster: 4 	 PercentageInCluster: 0.160000
Genus: parapholis 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: sphaeralcea 	 NumberInCluster: 6 	 PercentageInCluster: 0.127660
Genus: prosartes 	 NumberInCluster: 3 	 PercentageInCluster: 0.333333
Genus: pyracantha 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: eucnide 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: cuscuta 	 NumberInCluster: 11 	 PercentageInCluster: 0.146667
Genus: calystegia 	 NumberInCluster: 34 	 PercentageInCluster: 0.618182
Genus: leucothoe 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: pericallis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: echium 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: castela 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: lastarriaea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: xolantha 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: rotala 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: dodecatheon 	 NumberInCluster: 10 	 PercentageInCluster: 0.263158
Genus: glebionis 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: fritillaria 	 NumberInCluster: 16 	 PercentageInCluster: 0.695652
Genus: calamagrostis 	 NumberInCluster: 4 	 PercentageInCluster: 0.105263
Genus: pteris 	 NumberInCluster: 1 	 PercentageInCluster: 0.041667
Genus: crossosoma 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: dicoria 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: guillenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: spergularia 	 NumberInCluster: 5 	 PercentageInCluster: 0.294118
Genus: halimolobos 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: frasera 	 NumberInCluster: 5 	 PercentageInCluster: 0.263158
Genus: lesquerella 	 NumberInCluster: 2 	 PercentageInCluster: 0.019802
Genus: lepechinia 	 NumberInCluster: 4 	 PercentageInCluster: 0.800000
Genus: ayenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: holozonia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: sparaxis 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: acaena 	 NumberInCluster: 4 	 PercentageInCluster: 0.800000
Genus: hesperevax 	 NumberInCluster: 8 	 PercentageInCluster: 1.000000
Genus: datisca 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: leontodon 	 NumberInCluster: 2 	 PercentageInCluster: 0.200000
Genus: paraserianthes 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: erigeron 	 NumberInCluster: 51 	 PercentageInCluster: 0.193182
Genus: sanvitalia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: convolvulus 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: plagiobothrys 	 NumberInCluster: 46 	 PercentageInCluster: 0.647887
Genus: aira 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: rhododendron 	 NumberInCluster: 4 	 PercentageInCluster: 0.100000
Genus: caulostramina 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: staphylea 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: salsola 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: xylococcus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: romulea 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: fremontodendron 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: bauhinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: silene 	 NumberInCluster: 35 	 PercentageInCluster: 0.234899
Genus: bolandra 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: paeonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: calendula 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: brachypodium 	 NumberInCluster: 3 	 PercentageInCluster: 0.500000
Genus: heterodraba 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: tracyina 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: anulocaulis 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: aloysia 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: alnus 	 NumberInCluster: 1 	 PercentageInCluster: 0.062500
Genus: adiantum 	 NumberInCluster: 2 	 PercentageInCluster: 0.071429
Genus: argyranthemum 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: amaryllis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: viguiera 	 NumberInCluster: 2 	 PercentageInCluster: 0.166667
Genus: dittrichia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: canbya 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: solanum 	 NumberInCluster: 20 	 PercentageInCluster: 0.185185
Genus: nolina 	 NumberInCluster: 3 	 PercentageInCluster: 0.214286
Genus: salvia 	 NumberInCluster: 21 	 PercentageInCluster: 0.247059
Genus: helichrysum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: sericocarpus 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: tragopogon 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: sedella 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: teucrium 	 NumberInCluster: 2 	 PercentageInCluster: 0.142857
Genus: stylocline 	 NumberInCluster: 4 	 PercentageInCluster: 0.571429
Genus: sporobolus 	 NumberInCluster: 1 	 PercentageInCluster: 0.023810
Genus: pentagramma 	 NumberInCluster: 3 	 PercentageInCluster: 0.500000
Genus: freesia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: cynara 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: dipogon 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
