Cluster = 0
Cluster = 1
Genus: photinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: scolymus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: actaea 	 NumberInCluster: 1 	 PercentageInCluster: 0.076923
Genus: drosera 	 NumberInCluster: 1 	 PercentageInCluster: 0.055556
Genus: pimpinella 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: galanthus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: ammophila 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: crocus 	 NumberInCluster: 3 	 PercentageInCluster: 0.500000
Genus: polygonatum 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: satureja 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: cornus 	 NumberInCluster: 3 	 PercentageInCluster: 0.115385
Genus: philadelphus 	 NumberInCluster: 1 	 PercentageInCluster: 0.028571
Genus: paronychia 	 NumberInCluster: 1 	 PercentageInCluster: 0.022222
Genus: pappophorum 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: cardamine 	 NumberInCluster: 2 	 PercentageInCluster: 0.028986
Genus: nipponanthemum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: micranthemum 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: carlina 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: quercus 	 NumberInCluster: 2 	 PercentageInCluster: 0.008696
Genus: linum 	 NumberInCluster: 1 	 PercentageInCluster: 0.018868
Genus: veronica 	 NumberInCluster: 6 	 PercentageInCluster: 0.136364
Genus: pyxidanthera 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: tripolium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: chaenomeles 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: calystegia 	 NumberInCluster: 1 	 PercentageInCluster: 0.018182
Genus: oligoneuron 	 NumberInCluster: 2 	 PercentageInCluster: 0.166667
Genus: betula 	 NumberInCluster: 3 	 PercentageInCluster: 0.062500
Genus: syringa 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: convolvulus 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: rorippa 	 NumberInCluster: 1 	 PercentageInCluster: 0.023256
Genus: castanea 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: potamogeton 	 NumberInCluster: 4 	 PercentageInCluster: 0.070175
Genus: amaranthus 	 NumberInCluster: 2 	 PercentageInCluster: 0.039216
Genus: gaillardia 	 NumberInCluster: 1 	 PercentageInCluster: 0.043478
Genus: carex 	 NumberInCluster: 8 	 PercentageInCluster: 0.011527
Genus: erigeron 	 NumberInCluster: 1 	 PercentageInCluster: 0.003788
Genus: sonchus 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: elymus 	 NumberInCluster: 1 	 PercentageInCluster: 0.015152
Genus: silene 	 NumberInCluster: 3 	 PercentageInCluster: 0.020134
Genus: gomphrena 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: alnus 	 NumberInCluster: 1 	 PercentageInCluster: 0.062500
Genus: styrax 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: eleocharis 	 NumberInCluster: 3 	 PercentageInCluster: 0.034483
Genus: dittrichia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: securigera 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: adonis 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: ginkgo 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: eurybia 	 NumberInCluster: 1 	 PercentageInCluster: 0.035714
Genus: medicago 	 NumberInCluster: 1 	 PercentageInCluster: 0.052632
Genus: lonicera 	 NumberInCluster: 5 	 PercentageInCluster: 0.096154
Genus: solidago 	 NumberInCluster: 3 	 PercentageInCluster: 0.020833
Genus: campanula 	 NumberInCluster: 1 	 PercentageInCluster: 0.028571
Genus: artemisia 	 NumberInCluster: 1 	 PercentageInCluster: 0.009901
Genus: pseudofumaria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: mibora 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: astilbe 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: dactylis 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: acanthospermum 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: lamprocapnos 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: arnica 	 NumberInCluster: 1 	 PercentageInCluster: 0.022222
Genus: amelanchier 	 NumberInCluster: 1 	 PercentageInCluster: 0.035714
Genus: diplotaxis 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: crepis 	 NumberInCluster: 1 	 PercentageInCluster: 0.019608
Genus: tilia 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: cercidiphyllum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ixeris 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hydrocotyle 	 NumberInCluster: 1 	 PercentageInCluster: 0.076923
Genus: spiraea 	 NumberInCluster: 5 	 PercentageInCluster: 0.151515
Genus: phleum 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: limonium 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: platycodon 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: actinidia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: weigela 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: thladiantha 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cotoneaster 	 NumberInCluster: 2 	 PercentageInCluster: 0.117647
Genus: galium 	 NumberInCluster: 2 	 PercentageInCluster: 0.012579
Genus: cenchrus 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: brunnera 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: acer 	 NumberInCluster: 1 	 PercentageInCluster: 0.025000
Genus: pennisetum 	 NumberInCluster: 1 	 PercentageInCluster: 0.058824
Genus: mitella 	 NumberInCluster: 2 	 PercentageInCluster: 0.133333
Genus: polygonum 	 NumberInCluster: 1 	 PercentageInCluster: 0.009434
Genus: lechea 	 NumberInCluster: 1 	 PercentageInCluster: 0.041667
Genus: pulmonaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: trigonella 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: cynanchum 	 NumberInCluster: 1 	 PercentageInCluster: 0.040000
Genus: tragopogon 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: salvia 	 NumberInCluster: 3 	 PercentageInCluster: 0.035294
Genus: calamagrostis 	 NumberInCluster: 2 	 PercentageInCluster: 0.052632
Genus: viola 	 NumberInCluster: 18 	 PercentageInCluster: 0.100000
Genus: suaeda 	 NumberInCluster: 1 	 PercentageInCluster: 0.058824
Genus: erysimum 	 NumberInCluster: 1 	 PercentageInCluster: 0.027778
Genus: vaccinium 	 NumberInCluster: 3 	 PercentageInCluster: 0.066667
Genus: carpinus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: schoenoplectus 	 NumberInCluster: 1 	 PercentageInCluster: 0.029412
Genus: leucanthemella 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: platanus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: nepeta 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: bidens 	 NumberInCluster: 2 	 PercentageInCluster: 0.028169
Genus: achillea 	 NumberInCluster: 4 	 PercentageInCluster: 0.181818
Genus: acalypha 	 NumberInCluster: 1 	 PercentageInCluster: 0.041667
Genus: schizanthus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: althaea 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: aurinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: trollius 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: nonea 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: hylotelephium 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: tanacetum 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: aconitum 	 NumberInCluster: 1 	 PercentageInCluster: 0.055556
Genus: dictamnus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: eryngium 	 NumberInCluster: 1 	 PercentageInCluster: 0.024390
Genus: viburnum 	 NumberInCluster: 3 	 PercentageInCluster: 0.093750
Genus: gilia 	 NumberInCluster: 1 	 PercentageInCluster: 0.013699
Genus: juncus 	 NumberInCluster: 1 	 PercentageInCluster: 0.005882
Genus: vicia 	 NumberInCluster: 6 	 PercentageInCluster: 0.130435
Genus: galeopsis 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: stellaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.022222
Genus: puccinellia 	 NumberInCluster: 1 	 PercentageInCluster: 0.026316
Genus: bromus 	 NumberInCluster: 7 	 PercentageInCluster: 0.102941
Genus: gypsophila 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: scirpoides 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: luzula 	 NumberInCluster: 1 	 PercentageInCluster: 0.022727
Genus: reseda 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: agalinis 	 NumberInCluster: 1 	 PercentageInCluster: 0.023810
Genus: callistephus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hieracium 	 NumberInCluster: 5 	 PercentageInCluster: 0.061728
Genus: primula 	 NumberInCluster: 2 	 PercentageInCluster: 0.068966
Cluster = 2
Genus: ocimum 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: scleria 	 NumberInCluster: 10 	 PercentageInCluster: 0.333333
Genus: rajania 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hymenophyllum 	 NumberInCluster: 16 	 PercentageInCluster: 0.727273
Genus: mammillaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: persea 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: symplocos 	 NumberInCluster: 4 	 PercentageInCluster: 0.666667
Genus: callisia 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: dorstenia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: pavonia 	 NumberInCluster: 3 	 PercentageInCluster: 0.428571
Genus: cananga 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: stylogyne 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: voyria 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: mikania 	 NumberInCluster: 7 	 PercentageInCluster: 0.777778
Genus: vernonia 	 NumberInCluster: 4 	 PercentageInCluster: 0.108108
Genus: senna 	 NumberInCluster: 13 	 PercentageInCluster: 0.254902
Genus: salmea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: piscidia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: ctenitis 	 NumberInCluster: 3 	 PercentageInCluster: 0.375000
Genus: pitcairnia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: dillenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: pleodendron 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: marsypianthes 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: dicliptera 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: dalea 	 NumberInCluster: 1 	 PercentageInCluster: 0.011236
Genus: hypoderris 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: pilosocereus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: hypericum 	 NumberInCluster: 1 	 PercentageInCluster: 0.014925
Genus: schradera 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hyeronima 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: rorippa 	 NumberInCluster: 1 	 PercentageInCluster: 0.023256
Genus: congea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: fioria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: pachystachys 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bastardia 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: casuarina 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: hernandia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cleyera 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: megalastrum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: psidium 	 NumberInCluster: 5 	 PercentageInCluster: 0.625000
Genus: homalium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: urochloa 	 NumberInCluster: 4 	 PercentageInCluster: 0.190476
Genus: pera 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: eleutherine 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hirtella 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: hedyosmum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ranunculus 	 NumberInCluster: 1 	 PercentageInCluster: 0.007092
Genus: microgramma 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: kaempferia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: anemia 	 NumberInCluster: 4 	 PercentageInCluster: 0.666667
Genus: saritaea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: lepidium 	 NumberInCluster: 1 	 PercentageInCluster: 0.010526
Genus: sclerocarpus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: zephyranthes 	 NumberInCluster: 2 	 PercentageInCluster: 0.166667
Genus: cestrum 	 NumberInCluster: 3 	 PercentageInCluster: 0.375000
Genus: piriqueta 	 NumberInCluster: 3 	 PercentageInCluster: 0.600000
Genus: acnistus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ceiba 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: piptocarpha 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hyptis 	 NumberInCluster: 5 	 PercentageInCluster: 0.416667
Genus: scaphyglottis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: lellingeria 	 NumberInCluster: 3 	 PercentageInCluster: 0.750000
Genus: polystichum 	 NumberInCluster: 5 	 PercentageInCluster: 0.166667
Genus: craniolaria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: prestoea 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: vanilla 	 NumberInCluster: 4 	 PercentageInCluster: 0.444444
Genus: polygala 	 NumberInCluster: 7 	 PercentageInCluster: 0.087500
Genus: lantana 	 NumberInCluster: 6 	 PercentageInCluster: 0.285714
Genus: millettia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: laplacea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: liparis 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: malachra 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: bothriochloa 	 NumberInCluster: 1 	 PercentageInCluster: 0.058824
Genus: schizolobium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: gynerium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: rolandra 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: catopsis 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: baccharis 	 NumberInCluster: 1 	 PercentageInCluster: 0.040000
Genus: magnolia 	 NumberInCluster: 2 	 PercentageInCluster: 0.153846
Genus: erythrina 	 NumberInCluster: 8 	 PercentageInCluster: 0.666667
Genus: amyris 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: argythamnia 	 NumberInCluster: 3 	 PercentageInCluster: 0.125000
Genus: crotalaria 	 NumberInCluster: 5 	 PercentageInCluster: 0.178571
Genus: scrophularia 	 NumberInCluster: 1 	 PercentageInCluster: 0.047619
Genus: echinodorus 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: chione 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: acrocomia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: aniba 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: priva 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: pterocarpus 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: tetrazygia 	 NumberInCluster: 5 	 PercentageInCluster: 0.833333
Genus: maytenus 	 NumberInCluster: 4 	 PercentageInCluster: 0.666667
Genus: aiphanes 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: brasiliopuntia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: iresine 	 NumberInCluster: 4 	 PercentageInCluster: 0.400000
Genus: pleopeltis 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: pisonia 	 NumberInCluster: 2 	 PercentageInCluster: 0.181818
Genus: stenorrhynchos 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: mammea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: dieffenbachia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: codariocalyx 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: begonia 	 NumberInCluster: 5 	 PercentageInCluster: 0.500000
Genus: saccharum 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: eurystyles 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: schultesia 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: saccoloma 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: zygophlebia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: quassia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cheiroglossa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: epidendrum 	 NumberInCluster: 15 	 PercentageInCluster: 0.652174
Genus: licania 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: kleinhovia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ziziphus 	 NumberInCluster: 3 	 PercentageInCluster: 0.300000
Genus: limnobium 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: bolbitis 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: rondeletia 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: cassipourea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: mentzelia 	 NumberInCluster: 1 	 PercentageInCluster: 0.011364
Genus: episcia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: chamaesyce 	 NumberInCluster: 8 	 PercentageInCluster: 0.067227
Genus: eucharis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cassine 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: neptunia 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: anadenanthera 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bracteantha 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: eriosema 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: leptochloa 	 NumberInCluster: 1 	 PercentageInCluster: 0.058824
Genus: galeandra 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: zamia 	 NumberInCluster: 3 	 PercentageInCluster: 0.750000
Genus: homalocladium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: scolosanthus 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: triplaris 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: tephrosia 	 NumberInCluster: 5 	 PercentageInCluster: 0.208333
Genus: schoepfia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: ternstroemia 	 NumberInCluster: 5 	 PercentageInCluster: 1.000000
Genus: zornia 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: symphysia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: basiphyllaea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: consolea 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
