Cluster = 0
Genus: ocimum 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: freycinetia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: trisetum 	 NumberInCluster: 2 	 PercentageInCluster: 0.153846
Genus: paspalum 	 NumberInCluster: 2 	 PercentageInCluster: 0.031746
Genus: osteospermum 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: tetramolopium 	 NumberInCluster: 29 	 PercentageInCluster: 1.000000
Genus: hemigraphis 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: tephrosia 	 NumberInCluster: 1 	 PercentageInCluster: 0.041667
Genus: tecoma 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: boehmeria 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: eragrostis 	 NumberInCluster: 14 	 PercentageInCluster: 0.205882
Genus: diplopterygium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: schoenus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: musa 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: tectaria 	 NumberInCluster: 3 	 PercentageInCluster: 0.272727
Genus: cissus 	 NumberInCluster: 2 	 PercentageInCluster: 0.222222
Genus: anemone 	 NumberInCluster: 2 	 PercentageInCluster: 0.041667
Genus: pittosporum 	 NumberInCluster: 15 	 PercentageInCluster: 0.833333
Genus: blechnum 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: heliconia 	 NumberInCluster: 3 	 PercentageInCluster: 0.428571
Genus: stachytarpheta 	 NumberInCluster: 6 	 PercentageInCluster: 0.600000
Genus: arachniodes 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: agrostis 	 NumberInCluster: 1 	 PercentageInCluster: 0.030303
Genus: lobelia 	 NumberInCluster: 17 	 PercentageInCluster: 0.226667
Genus: olea 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: dioclea 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: deparia 	 NumberInCluster: 4 	 PercentageInCluster: 0.800000
Genus: lipochaeta 	 NumberInCluster: 27 	 PercentageInCluster: 1.000000
Genus: embelia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: chamaesyce 	 NumberInCluster: 31 	 PercentageInCluster: 0.260504
Genus: albizia 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: buchnera 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: furcraea 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: rauvolfia 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: huperzia 	 NumberInCluster: 16 	 PercentageInCluster: 0.421053
Genus: vigna 	 NumberInCluster: 4 	 PercentageInCluster: 0.285714
Genus: pluchea 	 NumberInCluster: 1 	 PercentageInCluster: 0.071429
Genus: nothocestrum 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: pseudognaphalium 	 NumberInCluster: 6 	 PercentageInCluster: 0.181818
Genus: broussaisia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: platycerium 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: zizania 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: alectryon 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: wolffia 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: frangula 	 NumberInCluster: 1 	 PercentageInCluster: 0.045455
Genus: lindernia 	 NumberInCluster: 2 	 PercentageInCluster: 0.200000
Genus: kokia 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: halophila 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: delissea 	 NumberInCluster: 12 	 PercentageInCluster: 1.000000
Genus: crassula 	 NumberInCluster: 3 	 PercentageInCluster: 0.200000
Genus: hypolepis 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: bocconia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bidens 	 NumberInCluster: 36 	 PercentageInCluster: 0.507042
Genus: brugmansia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: archontophoenix 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: centrosema 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: sanchezia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hylocereus 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: aerva 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hoya 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: echinochloa 	 NumberInCluster: 3 	 PercentageInCluster: 0.166667
Genus: vicia 	 NumberInCluster: 2 	 PercentageInCluster: 0.043478
Genus: hyparrhenia 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: exocarpos 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: flemingia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: diospyros 	 NumberInCluster: 3 	 PercentageInCluster: 0.300000
Genus: blumea 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: sigesbeckia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cocculus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: pueraria 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: vittaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: peucedanum 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: zingiber 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: polypodium 	 NumberInCluster: 3 	 PercentageInCluster: 0.157895
Genus: stapelia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: themeda 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: entolasia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cinchona 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: alphitonia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: isoetes 	 NumberInCluster: 1 	 PercentageInCluster: 0.018868
Genus: lindsaeosoria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: trema 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: coffea 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: elephantopus 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: cypholophus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cecropia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: bothriospermum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: serissa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: bixa 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: vaccinium 	 NumberInCluster: 3 	 PercentageInCluster: 0.066667
Genus: nama 	 NumberInCluster: 1 	 PercentageInCluster: 0.035714
Genus: calathea 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: anoectochilus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: schizachyrium 	 NumberInCluster: 1 	 PercentageInCluster: 0.062500
Genus: cestrum 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: pseuderanthemum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: keysseria 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: deschampsia 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: pritchardia 	 NumberInCluster: 23 	 PercentageInCluster: 1.000000
Genus: etlingera 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: pteris 	 NumberInCluster: 5 	 PercentageInCluster: 0.208333
Genus: hesperomannia 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: chamaecrista 	 NumberInCluster: 2 	 PercentageInCluster: 0.057143
Genus: heteromeles 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: cyperus 	 NumberInCluster: 33 	 PercentageInCluster: 0.227586
Genus: touchardia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: styphelia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: sechium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: panicum 	 NumberInCluster: 15 	 PercentageInCluster: 0.182927
Genus: festuca 	 NumberInCluster: 1 	 PercentageInCluster: 0.016129
Genus: lepidium 	 NumberInCluster: 9 	 PercentageInCluster: 0.094737
Genus: euphorbia 	 NumberInCluster: 3 	 PercentageInCluster: 0.034091
Genus: cheilanthes 	 NumberInCluster: 1 	 PercentageInCluster: 0.030303
Genus: cordia 	 NumberInCluster: 3 	 PercentageInCluster: 0.130435
Genus: nymphaea 	 NumberInCluster: 2 	 PercentageInCluster: 0.095238
Genus: pyracantha 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: cuscuta 	 NumberInCluster: 1 	 PercentageInCluster: 0.013333
Genus: morella 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: dubautia 	 NumberInCluster: 48 	 PercentageInCluster: 1.000000
Genus: coniogramme 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: sisyrinchium 	 NumberInCluster: 1 	 PercentageInCluster: 0.022222
Genus: entada 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: calotropis 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: breynia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: doodia 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: terminalia 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: trichomanes 	 NumberInCluster: 5 	 PercentageInCluster: 0.151515
Genus: calamagrostis 	 NumberInCluster: 2 	 PercentageInCluster: 0.052632
Genus: flindersia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: digitaria 	 NumberInCluster: 4 	 PercentageInCluster: 0.111111
Genus: lepechinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: crassocephalum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ipomoea 	 NumberInCluster: 4 	 PercentageInCluster: 0.058824
Genus: remya 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: scleria 	 NumberInCluster: 1 	 PercentageInCluster: 0.033333
Genus: acaena 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: erigeron 	 NumberInCluster: 2 	 PercentageInCluster: 0.007576
Genus: cuphea 	 NumberInCluster: 2 	 PercentageInCluster: 0.181818
Genus: convolvulus 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: gmelina 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: stylosanthes 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: silene 	 NumberInCluster: 7 	 PercentageInCluster: 0.046980
Genus: cymbopogon 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: helichrysum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: tacca 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: justicia 	 NumberInCluster: 2 	 PercentageInCluster: 0.074074
Genus: calophyllum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: alnus 	 NumberInCluster: 1 	 PercentageInCluster: 0.062500
Genus: adiantum 	 NumberInCluster: 2 	 PercentageInCluster: 0.071429
Genus: eucalyptus 	 NumberInCluster: 28 	 PercentageInCluster: 0.823529
Genus: schizaea 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: diellia 	 NumberInCluster: 8 	 PercentageInCluster: 1.000000
Genus: stenogyne 	 NumberInCluster: 23 	 PercentageInCluster: 1.000000
Genus: oxyspora 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: holmskioldia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: myrsine 	 NumberInCluster: 20 	 PercentageInCluster: 0.909091
Genus: sporobolus 	 NumberInCluster: 4 	 PercentageInCluster: 0.095238
Genus: charpentiera 	 NumberInCluster: 9 	 PercentageInCluster: 1.000000
Genus: swietenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: juncus 	 NumberInCluster: 2 	 PercentageInCluster: 0.011765
Genus: nototrichium 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: centratherum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: artabotrys 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: clerodendrum 	 NumberInCluster: 4 	 PercentageInCluster: 0.222222
Genus: heterocentron 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: xyris 	 NumberInCluster: 1 	 PercentageInCluster: 0.037037
Genus: cinnamomum 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: pneumatopteris 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: cenchrus 	 NumberInCluster: 3 	 PercentageInCluster: 0.250000
Genus: watsonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: isachne 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: pennisetum 	 NumberInCluster: 3 	 PercentageInCluster: 0.176471
Genus: ixophorus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: polygonum 	 NumberInCluster: 1 	 PercentageInCluster: 0.009434
Genus: coprosma 	 NumberInCluster: 15 	 PercentageInCluster: 0.937500
Genus: hibiscadelphus 	 NumberInCluster: 8 	 PercentageInCluster: 1.000000
Genus: plumbago 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: morinda 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: dioscorea 	 NumberInCluster: 1 	 PercentageInCluster: 0.066667
Genus: cibotium 	 NumberInCluster: 5 	 PercentageInCluster: 1.000000
Genus: hippeastrum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: nesoluma 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: streptosolen 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ardisia 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: rumex 	 NumberInCluster: 5 	 PercentageInCluster: 0.068493
Genus: microlaena 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: mimosa 	 NumberInCluster: 2 	 PercentageInCluster: 0.060606
Genus: oenothera 	 NumberInCluster: 2 	 PercentageInCluster: 0.020000
Genus: elaphoglossum 	 NumberInCluster: 11 	 PercentageInCluster: 0.354839
Genus: zoysia 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: nestegis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: corchorus 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: frankenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: ehrharta 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: hyptis 	 NumberInCluster: 2 	 PercentageInCluster: 0.166667
Genus: xanthosoma 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: laportea 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: sticherus 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: sauvagesia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ochna 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: photinia 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: piper 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: nephrolepis 	 NumberInCluster: 5 	 PercentageInCluster: 0.357143
Genus: lotus 	 NumberInCluster: 1 	 PercentageInCluster: 0.012195
Genus: clidemia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: selenicereus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: polystichum 	 NumberInCluster: 3 	 PercentageInCluster: 0.100000
Genus: trematolobelia 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: plantago 	 NumberInCluster: 10 	 PercentageInCluster: 0.212766
Genus: alstonia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: dichelachne 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: antidesma 	 NumberInCluster: 5 	 PercentageInCluster: 1.000000
Genus: setaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.025000
Genus: heliotropium 	 NumberInCluster: 3 	 PercentageInCluster: 0.088235
Genus: pterolepis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: argyroxiphium 	 NumberInCluster: 8 	 PercentageInCluster: 1.000000
Genus: sceptridium 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: sida 	 NumberInCluster: 3 	 PercentageInCluster: 0.103448
Genus: flueggea 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: fragaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.055556
Genus: caesalpinia 	 NumberInCluster: 3 	 PercentageInCluster: 0.166667
Genus: claoxylon 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: sidastrum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: kalimeris 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: psilotum 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: gahnia 	 NumberInCluster: 6 	 PercentageInCluster: 1.000000
Genus: mallotus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: dryopteris 	 NumberInCluster: 16 	 PercentageInCluster: 0.326531
Genus: pouteria 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: harrisia 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: hunnemannia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: schizostachyum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: phyllostachys 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: toona 	 NumberInCluster: 3 	 PercentageInCluster: 1.000000
Genus: rubus 	 NumberInCluster: 8 	 PercentageInCluster: 0.031008
Genus: atriplex 	 NumberInCluster: 3 	 PercentageInCluster: 0.025641
Genus: cordyline 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: prosopis 	 NumberInCluster: 2 	 PercentageInCluster: 0.153846
Genus: marsilea 	 NumberInCluster: 2 	 PercentageInCluster: 0.181818
Genus: neraudia 	 NumberInCluster: 7 	 PercentageInCluster: 1.000000
Genus: ficus 	 NumberInCluster: 4 	 PercentageInCluster: 0.190476
Genus: hibiscus 	 NumberInCluster: 21 	 PercentageInCluster: 0.420000
Genus: corynocarpus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: caucalis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: arthrostemma 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: chenopodium 	 NumberInCluster: 2 	 PercentageInCluster: 0.027778
Genus: elaeocarpus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: jacquemontia 	 NumberInCluster: 2 	 PercentageInCluster: 0.142857
Genus: pteralyxia 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: passiflora 	 NumberInCluster: 12 	 PercentageInCluster: 0.260870
Genus: hebe 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: sagina 	 NumberInCluster: 1 	 PercentageInCluster: 0.062500
Genus: monochoria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: clermontia 	 NumberInCluster: 40 	 PercentageInCluster: 1.000000
Genus: syzygium 	 NumberInCluster: 3 	 PercentageInCluster: 0.600000
Genus: alsinidendron 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: lepturus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: euchiton 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: reynoldsia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: mucuna 	 NumberInCluster: 4 	 PercentageInCluster: 0.500000
Genus: livistona 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: hedyotis 	 NumberInCluster: 26 	 PercentageInCluster: 0.896552
Genus: medinilla 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: aristea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: manihot 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: selaginella 	 NumberInCluster: 6 	 PercentageInCluster: 0.100000
Genus: baltimora 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: platydesma 	 NumberInCluster: 6 	 PercentageInCluster: 1.000000
Genus: linum 	 NumberInCluster: 1 	 PercentageInCluster: 0.018868
Genus: cyathea 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: zanthoxylum 	 NumberInCluster: 6 	 PercentageInCluster: 0.300000
Genus: diplazium 	 NumberInCluster: 4 	 PercentageInCluster: 0.250000
Genus: sicyos 	 NumberInCluster: 14 	 PercentageInCluster: 0.700000
Genus: sadleria 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: psydrax 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: epilobium 	 NumberInCluster: 2 	 PercentageInCluster: 0.036364
Genus: fimbristylis 	 NumberInCluster: 5 	 PercentageInCluster: 0.185185
Genus: amaranthus 	 NumberInCluster: 2 	 PercentageInCluster: 0.039216
