Cluster = 0
Cluster = 1
Genus: senna 	 NumberInCluster: 6 	 PercentageInCluster: 0.117647
Genus: symphyotrichum 	 NumberInCluster: 4 	 PercentageInCluster: 0.027211
Genus: amyris 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: argythamnia 	 NumberInCluster: 5 	 PercentageInCluster: 0.208333
Genus: vitex 	 NumberInCluster: 3 	 PercentageInCluster: 0.187500
Genus: sicyos 	 NumberInCluster: 1 	 PercentageInCluster: 0.050000
Genus: lythrum 	 NumberInCluster: 1 	 PercentageInCluster: 0.066667
Genus: ruellia 	 NumberInCluster: 13 	 PercentageInCluster: 0.351351
Genus: trillium 	 NumberInCluster: 3 	 PercentageInCluster: 0.062500
Genus: perityle 	 NumberInCluster: 20 	 PercentageInCluster: 0.416667
Genus: alophia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: maytenus 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: amoreuxia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: fryxellia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: iresine 	 NumberInCluster: 2 	 PercentageInCluster: 0.200000
Genus: pleopeltis 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: consolida 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: pomaria 	 NumberInCluster: 3 	 PercentageInCluster: 0.750000
Genus: houstonia 	 NumberInCluster: 4 	 PercentageInCluster: 0.173913
Genus: gaillardia 	 NumberInCluster: 6 	 PercentageInCluster: 0.260870
Genus: nissolia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: sedum 	 NumberInCluster: 4 	 PercentageInCluster: 0.055556
Genus: stevia 	 NumberInCluster: 2 	 PercentageInCluster: 0.200000
Genus: grusonia 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: scutellaria 	 NumberInCluster: 11 	 PercentageInCluster: 0.144737
Genus: delphinium 	 NumberInCluster: 2 	 PercentageInCluster: 0.018868
Genus: quercus 	 NumberInCluster: 30 	 PercentageInCluster: 0.130435
Genus: mentzelia 	 NumberInCluster: 5 	 PercentageInCluster: 0.056818
Genus: eysenhardtia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: eriogonum 	 NumberInCluster: 8 	 PercentageInCluster: 0.018349
Genus: cryptantha 	 NumberInCluster: 1 	 PercentageInCluster: 0.007143
Genus: ariocarpus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: phaseolus 	 NumberInCluster: 1 	 PercentageInCluster: 0.055556
Genus: luziola 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: helietta 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: polytaenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: egletes 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: paspalum 	 NumberInCluster: 13 	 PercentageInCluster: 0.206349
Genus: gaura 	 NumberInCluster: 10 	 PercentageInCluster: 0.370370
Genus: lippia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: gossypianthus 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: tephrosia 	 NumberInCluster: 2 	 PercentageInCluster: 0.083333
Genus: villadia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: zornia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: osmorhiza 	 NumberInCluster: 2 	 PercentageInCluster: 0.222222
Genus: spigelia 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: tetraneuris 	 NumberInCluster: 3 	 PercentageInCluster: 0.142857
Genus: dysodiopsis 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: aphanostephus 	 NumberInCluster: 2 	 PercentageInCluster: 0.222222
Genus: leucophyllum 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: paliurus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: tectaria 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: styrax 	 NumberInCluster: 5 	 PercentageInCluster: 0.500000
Genus: parkinsonia 	 NumberInCluster: 3 	 PercentageInCluster: 0.500000
Genus: cirsium 	 NumberInCluster: 3 	 PercentageInCluster: 0.027027
Genus: zinnia 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: thalictrum 	 NumberInCluster: 2 	 PercentageInCluster: 0.066667
Genus: hamamelis 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: schizanthus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hymenocallis 	 NumberInCluster: 2 	 PercentageInCluster: 0.117647
Genus: bouchetia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: lobelia 	 NumberInCluster: 5 	 PercentageInCluster: 0.066667
Genus: rhododon 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: colubrina 	 NumberInCluster: 5 	 PercentageInCluster: 0.333333
Genus: emorya 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: giliastrum 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: cooperia 	 NumberInCluster: 4 	 PercentageInCluster: 0.800000
Genus: eragrostis 	 NumberInCluster: 5 	 PercentageInCluster: 0.073529
Genus: anemone 	 NumberInCluster: 1 	 PercentageInCluster: 0.020833
Genus: randia 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: xylorhiza 	 NumberInCluster: 1 	 PercentageInCluster: 0.076923
Genus: pseudognaphalium 	 NumberInCluster: 2 	 PercentageInCluster: 0.060606
Genus: malaxis 	 NumberInCluster: 1 	 PercentageInCluster: 0.071429
Genus: zizania 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: hydrocleys 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: hymenoxys 	 NumberInCluster: 1 	 PercentageInCluster: 0.041667
Genus: grindelia 	 NumberInCluster: 5 	 PercentageInCluster: 0.090909
Genus: tragia 	 NumberInCluster: 4 	 PercentageInCluster: 0.250000
Genus: symphoricarpos 	 NumberInCluster: 1 	 PercentageInCluster: 0.055556
Genus: nectouxia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: halophila 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: crassula 	 NumberInCluster: 2 	 PercentageInCluster: 0.133333
Genus: glossopetalon 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: galactia 	 NumberInCluster: 5 	 PercentageInCluster: 0.238095
Genus: verbena 	 NumberInCluster: 4 	 PercentageInCluster: 0.072727
Genus: silphium 	 NumberInCluster: 3 	 PercentageInCluster: 0.076923
Genus: mahonia 	 NumberInCluster: 1 	 PercentageInCluster: 0.076923
Genus: acalypha 	 NumberInCluster: 4 	 PercentageInCluster: 0.166667
Genus: spergularia 	 NumberInCluster: 1 	 PercentageInCluster: 0.058824
Genus: antiphytum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: vitis 	 NumberInCluster: 5 	 PercentageInCluster: 0.166667
Genus: pistacia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: conoclinium 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: juncus 	 NumberInCluster: 3 	 PercentageInCluster: 0.017647
Genus: liatris 	 NumberInCluster: 10 	 PercentageInCluster: 0.140845
Genus: lechea 	 NumberInCluster: 2 	 PercentageInCluster: 0.083333
Genus: condalia 	 NumberInCluster: 4 	 PercentageInCluster: 0.333333
Genus: achnatherum 	 NumberInCluster: 1 	 PercentageInCluster: 0.024390
Genus: chaetopappa 	 NumberInCluster: 6 	 PercentageInCluster: 0.600000
Genus: ligustrum 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: hieracium 	 NumberInCluster: 1 	 PercentageInCluster: 0.012346
Genus: diospyros 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: digitaria 	 NumberInCluster: 7 	 PercentageInCluster: 0.194444
Genus: stenandrium 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: muhlenbergia 	 NumberInCluster: 4 	 PercentageInCluster: 0.057143
Genus: hygrophila 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: berlandiera 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: palafoxia 	 NumberInCluster: 9 	 PercentageInCluster: 0.500000
Genus: turbina 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: ephedra 	 NumberInCluster: 3 	 PercentageInCluster: 0.166667
Genus: minuartia 	 NumberInCluster: 1 	 PercentageInCluster: 0.023810
Genus: wissadula 	 NumberInCluster: 2 	 PercentageInCluster: 1.000000
Genus: salvia 	 NumberInCluster: 9 	 PercentageInCluster: 0.105882
Genus: oxalis 	 NumberInCluster: 2 	 PercentageInCluster: 0.051282
Genus: isoetes 	 NumberInCluster: 1 	 PercentageInCluster: 0.018868
Genus: menodora 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: corydalis 	 NumberInCluster: 2 	 PercentageInCluster: 0.090909
Genus: cryptocoryne 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: oxyrhynchus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: sabal 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: toxicodendron 	 NumberInCluster: 2 	 PercentageInCluster: 0.181818
Genus: nemophila 	 NumberInCluster: 1 	 PercentageInCluster: 0.050000
Genus: androstephium 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: bigelowia 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: nama 	 NumberInCluster: 4 	 PercentageInCluster: 0.142857
Genus: heimia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: schizachyrium 	 NumberInCluster: 1 	 PercentageInCluster: 0.062500
Genus: guaiacum 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: zephyranthes 	 NumberInCluster: 2 	 PercentageInCluster: 0.166667
Genus: triodanis 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: tidestromia 	 NumberInCluster: 2 	 PercentageInCluster: 0.400000
Genus: sida 	 NumberInCluster: 3 	 PercentageInCluster: 0.103448
Genus: citrullus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: flaveria 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: chamaecrista 	 NumberInCluster: 6 	 PercentageInCluster: 0.171429
Genus: campanula 	 NumberInCluster: 1 	 PercentageInCluster: 0.028571
Genus: dichaetophora 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cyperus 	 NumberInCluster: 10 	 PercentageInCluster: 0.068966
Genus: arenaria 	 NumberInCluster: 2 	 PercentageInCluster: 0.033333
Genus: heteranthera 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: cienfuegosia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: billieturnera 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: sanvitalia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: bouchea 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: panicum 	 NumberInCluster: 7 	 PercentageInCluster: 0.085366
Genus: festuca 	 NumberInCluster: 2 	 PercentageInCluster: 0.032258
Genus: astragalus 	 NumberInCluster: 16 	 PercentageInCluster: 0.026016
Genus: sageretia 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: lepidium 	 NumberInCluster: 1 	 PercentageInCluster: 0.010526
Genus: euphorbia 	 NumberInCluster: 9 	 PercentageInCluster: 0.102273
Genus: saxifraga 	 NumberInCluster: 1 	 PercentageInCluster: 0.008929
Genus: escobaria 	 NumberInCluster: 6 	 PercentageInCluster: 0.181818
Genus: phoradendron 	 NumberInCluster: 3 	 PercentageInCluster: 0.120000
Genus: spiranthes 	 NumberInCluster: 3 	 PercentageInCluster: 0.083333
Genus: cordia 	 NumberInCluster: 2 	 PercentageInCluster: 0.086957
Genus: townsendia 	 NumberInCluster: 1 	 PercentageInCluster: 0.030303
Genus: fraxinus 	 NumberInCluster: 2 	 PercentageInCluster: 0.100000
Genus: eucnide 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: cuscuta 	 NumberInCluster: 7 	 PercentageInCluster: 0.093333
Genus: sisyrinchium 	 NumberInCluster: 4 	 PercentageInCluster: 0.088889
Genus: castela 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: malpighia 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: amsonia 	 NumberInCluster: 3 	 PercentageInCluster: 0.115385
Genus: kallstroemia 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: polygala 	 NumberInCluster: 13 	 PercentageInCluster: 0.162500
Genus: gratiola 	 NumberInCluster: 1 	 PercentageInCluster: 0.071429
Genus: lesquerella 	 NumberInCluster: 17 	 PercentageInCluster: 0.168317
Genus: ipomoea 	 NumberInCluster: 6 	 PercentageInCluster: 0.088235
Genus: ayenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: scleria 	 NumberInCluster: 1 	 PercentageInCluster: 0.033333
Genus: oligoneuron 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: eriocaulon 	 NumberInCluster: 1 	 PercentageInCluster: 0.066667
Genus: cuphea 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: cheilanthes 	 NumberInCluster: 5 	 PercentageInCluster: 0.151515
Genus: rhododendron 	 NumberInCluster: 1 	 PercentageInCluster: 0.025000
Genus: nierembergia 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: sideritis 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: cyphomeris 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: malvastrum 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: stylosanthes 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: bauhinia 	 NumberInCluster: 2 	 PercentageInCluster: 0.200000
Genus: silene 	 NumberInCluster: 1 	 PercentageInCluster: 0.006711
Genus: richardia 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: lophophora 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: warnockia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: thymophylla 	 NumberInCluster: 6 	 PercentageInCluster: 0.315789
Genus: justicia 	 NumberInCluster: 3 	 PercentageInCluster: 0.111111
Genus: aloysia 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: streptanthus 	 NumberInCluster: 6 	 PercentageInCluster: 0.095238
Genus: adiantum 	 NumberInCluster: 1 	 PercentageInCluster: 0.035714
Genus: viguiera 	 NumberInCluster: 2 	 PercentageInCluster: 0.166667
Genus: cuminum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: sphenopholis 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: echeveria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: sporobolus 	 NumberInCluster: 4 	 PercentageInCluster: 0.095238
Genus: forestiera 	 NumberInCluster: 2 	 PercentageInCluster: 0.142857
Genus: urvillea 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: suaeda 	 NumberInCluster: 3 	 PercentageInCluster: 0.176471
Genus: echinochloa 	 NumberInCluster: 1 	 PercentageInCluster: 0.055556
Genus: crepis 	 NumberInCluster: 1 	 PercentageInCluster: 0.019608
Genus: sesuvium 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: ludwigia 	 NumberInCluster: 1 	 PercentageInCluster: 0.024390
Genus: lachnocaulon 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: phanerophlebia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: aureolaria 	 NumberInCluster: 3 	 PercentageInCluster: 0.176471
Genus: hymenopappus 	 NumberInCluster: 5 	 PercentageInCluster: 0.172414
Genus: anisacanthus 	 NumberInCluster: 4 	 PercentageInCluster: 0.800000
Genus: juglans 	 NumberInCluster: 2 	 PercentageInCluster: 0.142857
Genus: tripogon 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: cenchrus 	 NumberInCluster: 1 	 PercentageInCluster: 0.083333
Genus: lindheimera 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: prosopis 	 NumberInCluster: 4 	 PercentageInCluster: 0.307692
Genus: hesperaloe 	 NumberInCluster: 4 	 PercentageInCluster: 1.000000
Genus: eriochloa 	 NumberInCluster: 3 	 PercentageInCluster: 0.200000
Genus: vauquelinia 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: psilostrophe 	 NumberInCluster: 1 	 PercentageInCluster: 0.142857
Genus: thelesperma 	 NumberInCluster: 4 	 PercentageInCluster: 0.250000
Genus: aspicarpa 	 NumberInCluster: 2 	 PercentageInCluster: 0.666667
Genus: cynanchum 	 NumberInCluster: 5 	 PercentageInCluster: 0.200000
Genus: dichondra 	 NumberInCluster: 1 	 PercentageInCluster: 0.125000
Genus: kosteletzkya 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: leucaena 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: aesculus 	 NumberInCluster: 1 	 PercentageInCluster: 0.055556
Genus: krigia 	 NumberInCluster: 1 	 PercentageInCluster: 0.111111
Genus: rumex 	 NumberInCluster: 3 	 PercentageInCluster: 0.041096
Genus: mimosa 	 NumberInCluster: 12 	 PercentageInCluster: 0.363636
Genus: hedeoma 	 NumberInCluster: 5 	 PercentageInCluster: 0.208333
Genus: glandularia 	 NumberInCluster: 2 	 PercentageInCluster: 0.090909
Genus: spartina 	 NumberInCluster: 2 	 PercentageInCluster: 0.153846
Genus: oenothera 	 NumberInCluster: 13 	 PercentageInCluster: 0.130000
Genus: oxycaryum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: frankenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: viburnum 	 NumberInCluster: 1 	 PercentageInCluster: 0.031250
Genus: macrosiphonia 	 NumberInCluster: 4 	 PercentageInCluster: 0.800000
Genus: sclerocactus 	 NumberInCluster: 4 	 PercentageInCluster: 0.173913
Genus: esenbeckia 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: verbesina 	 NumberInCluster: 2 	 PercentageInCluster: 0.095238
Genus: brachiaria 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: acourtia 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: notholaena 	 NumberInCluster: 4 	 PercentageInCluster: 0.266667
Genus: baptisia 	 NumberInCluster: 6 	 PercentageInCluster: 0.176471
Genus: coursetia 	 NumberInCluster: 1 	 PercentageInCluster: 0.166667
Genus: hoffmannseggia 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: stachys 	 NumberInCluster: 2 	 PercentageInCluster: 0.047619
Genus: dasylirion 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: plantago 	 NumberInCluster: 1 	 PercentageInCluster: 0.021277
Genus: proboscidea 	 NumberInCluster: 2 	 PercentageInCluster: 0.200000
Genus: limnosciadium 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: lactuca 	 NumberInCluster: 1 	 PercentageInCluster: 0.050000
Genus: setaria 	 NumberInCluster: 3 	 PercentageInCluster: 0.075000
Genus: teucrium 	 NumberInCluster: 2 	 PercentageInCluster: 0.142857
Genus: jatropha 	 NumberInCluster: 4 	 PercentageInCluster: 0.190476
Genus: echinacea 	 NumberInCluster: 5 	 PercentageInCluster: 0.384615
Genus: heliotropium 	 NumberInCluster: 6 	 PercentageInCluster: 0.176471
Genus: phaulothamnus 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: morus 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: callirhoe 	 NumberInCluster: 3 	 PercentageInCluster: 0.272727
Genus: eupatorium 	 NumberInCluster: 1 	 PercentageInCluster: 0.022222
Genus: hydrolea 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: wedelia 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: lycianthes 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: fendlera 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: caesalpinia 	 NumberInCluster: 3 	 PercentageInCluster: 0.166667
Genus: sidastrum 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: cressa 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: sarracenia 	 NumberInCluster: 1 	 PercentageInCluster: 0.030303
Genus: trichloris 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: aristida 	 NumberInCluster: 1 	 PercentageInCluster: 0.018182
Genus: cercis 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: adelia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: galphimia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: schoenocaulon 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: sphaeralcea 	 NumberInCluster: 2 	 PercentageInCluster: 0.042553
Genus: astrophytum 	 NumberInCluster: 1 	 PercentageInCluster: 1.000000
Genus: thelypodiopsis 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: carlowrightia 	 NumberInCluster: 5 	 PercentageInCluster: 0.625000
Genus: rubus 	 NumberInCluster: 7 	 PercentageInCluster: 0.027132
Genus: ipomopsis 	 NumberInCluster: 2 	 PercentageInCluster: 0.038462
Genus: nolina 	 NumberInCluster: 4 	 PercentageInCluster: 0.285714
Genus: xanthisma 	 NumberInCluster: 1 	 PercentageInCluster: 0.333333
Genus: atriplex 	 NumberInCluster: 6 	 PercentageInCluster: 0.051282
Genus: echinocereus 	 NumberInCluster: 14 	 PercentageInCluster: 0.245614
Genus: paspalidium 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: marsilea 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: hibiscus 	 NumberInCluster: 4 	 PercentageInCluster: 0.080000
Genus: hypochaeris 	 NumberInCluster: 2 	 PercentageInCluster: 0.333333
Genus: polanisia 	 NumberInCluster: 4 	 PercentageInCluster: 0.400000
Genus: phacelia 	 NumberInCluster: 12 	 PercentageInCluster: 0.053333
Genus: ferocactus 	 NumberInCluster: 1 	 PercentageInCluster: 0.100000
Genus: pseudoclappia 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
Genus: chenopodium 	 NumberInCluster: 2 	 PercentageInCluster: 0.027778
Genus: selenicereus 	 NumberInCluster: 1 	 PercentageInCluster: 0.250000
Genus: tetragonotheca 	 NumberInCluster: 3 	 PercentageInCluster: 0.750000
Genus: physalis 	 NumberInCluster: 5 	 PercentageInCluster: 0.098039
Genus: passiflora 	 NumberInCluster: 3 	 PercentageInCluster: 0.065217
Genus: samolus 	 NumberInCluster: 2 	 PercentageInCluster: 0.250000
Genus: elytraria 	 NumberInCluster: 1 	 PercentageInCluster: 0.200000
Genus: funastrum 	 NumberInCluster: 2 	 PercentageInCluster: 0.285714
Genus: serjania 	 NumberInCluster: 2 	 PercentageInCluster: 0.500000
Genus: tiquilia 	 NumberInCluster: 1 	 PercentageInCluster: 0.090909
Genus: elionurus 	 NumberInCluster: 1 	 PercentageInCluster: 0.500000
